课程号	课程名称	开课学院	余量	容量	待定(本专业/所有)	本账号已选	教学班	教师	周五上课时间	地点	学期段	考试时间	候选来源/页签
CHEM1005G	普通化学实验（甲）	化学系	3	30	0~4	否	(2026-2027-1)-CHEM1005G-0098450-2	习玲玲	周五第1,2,3,4节	紫金港化学实验中心-207	秋冬	待定	PDF培养方案 / 通识-自然科学选修、通识必修-全部、通识必修-自然科学
CS1001G	C程序设计基础及实验	计算机科学与技术学院	1	70	0~0	否	(2026-2027-1)-CS1001G-0009665-1A	陶煜波	周三第6,7,8节;周五第3,4节	紫金港东1B-304;紫金港机房	秋冬	2027年01月13日(14:00-16:00)	zdbk目录 / 通识必修-全部、通识必修-计算机
CS1002G	C程序设计基础	计算机科学与技术学院	0	145	0~0	否	(2026-2027-1)-CS1002G-0010046-1	侯启明	周三第7,8节;周五第1,2节	紫金港东1A-301;紫金港机房	秋冬	2027年01月15日(14:00-16:00)	zdbk目录 / 通识必修-全部、通识必修-计算机
CS1002G	C程序设计基础	计算机科学与技术学院	5	145	0~0	否	(2026-2027-1)-CS1002G-0010046-2	侯启明	周三第9,10节;周五第3,4节	紫金港东1A-301;紫金港机房	秋冬	2027年01月15日(14:00-16:00)	zdbk目录 / 通识必修-全部、通识必修-计算机
CS1002G	C程序设计基础	计算机科学与技术学院	7	145	0~0	否	(2026-2027-1)-CS1002G-0091340-3	白洪欢	周三第9,10节;周五第3,4节	紫金港东1A-209;紫金港机房	秋冬	2027年01月15日(14:00-16:00)	zdbk目录 / 通识必修-全部、通识必修-计算机
CS1002G	C程序设计基础	计算机科学与技术学院	0	145	0~0	否	(2026-2027-1)-CS1002G-0092053-4	肖少拥	周三第7,8节;周五第1,2节	紫金港东1A-203;紫金港机房	秋冬	2027年01月15日(14:00-16:00)	zdbk目录 / 通识必修-全部、通识必修-计算机
CS1006G	Python程序设计	计算机科学与技术学院	0	80	0~0	否	(2026-2027-1)-CS1006G-0095513-3A	李峰	周二第9,10节;周五第3,4节	紫金港东1B-210;紫金港机房	秋冬	2027年01月12日(14:00-16:00)	zdbk目录 / 通识必修-全部、通识必修-计算机
CS1006G	Python程序设计	计算机科学与技术学院	1	120	0~0	否	(2026-2027-1)-CS1006G-0095513-4A	李峰	周二第7,8节;周五第1,2节	紫金港东1B-210;紫金港机房	秋冬	2027年01月12日(14:00-16:00)	zdbk目录 / 通识必修-全部、通识必修-计算机
CS1006G	Python程序设计	计算机科学与技术学院	33	120	4~75	否	(2026-2027-1)-CS1006G-0098253-3A	沈钦仙	周三第1,2节;周五第3,4节	紫金港东1B-210;紫金港机房	秋冬	2027年01月12日(14:00-16:00)	zdbk目录 / 通识必修-全部、通识必修-计算机
CS1012GH	Python程序设计（H）	计算机科学与技术学院	12	67	1~10	否	(2026-2027-1)-CS1012GH-0001016-3	陆汉权	周五第3,4,5节	紫金港东1A-213	秋冬	2027年01月12日(14:00-16:00)	zdbk目录 / 通识必修-全部、通识必修-计算机
CS1014GZ	程序设计与算法基础	计算机科学与技术学院	-12	90	0~0	否	(2026-2027-1)-CS1014GZ-0095096-1A	应晶	周四第3,4,5节;周五第1,2节	紫金港东1A-209;紫金港机房	秋冬	2027年01月09日(10:30-12:30)	zdbk目录 / 通识必修-全部、通识必修-计算机
CS1015GZ	程序设计基础与实验	计算机科学与技术学院	0	106	0~0	否	(2026-2027-1)-CS1015GZ-0092050-1A	许端清	周三第3,4,5节;周五第3,4节	紫金港东1A-301;紫金港机房	秋冬	2027年01月11日(14:00-16:00)	zdbk目录 / 通识必修-全部、通识必修-计算机
EDU2001G	军事理论	教育学院	0	300	0~0	否	(2026-2027-1)-EDU2001G-0017170-4	程春	周五第1,2节	紫金港北2-112	秋冬	2027年01月08日(10:30-12:30)	PDF培养方案 / 通识-军体必修、通识必修-全部、通识必修-军体
ENER0900GZ	百万立方未来世界	能源工程学院	2	70	0~0	否	(2026-2027-1)-ENER0900GZ-0012076-1	徐象国、高宁、傅翼	周三第1,2节;周五第3,4节	紫金港西1-217;紫金港西1-217	秋冬	待定	zdbk目录 / 通识选修-全部、通识选修-科技创新、通识选修-通识核心
ENVR0601G	环境与可持续发展导论	环境与资源学院	4	80	0~0	否	(2026-2027-1)-ENVR0601G-0023041-1	史乐	周五第11,12,13节	紫金港北3-112	秋	待定	zdbk目录 / 通识选修-全部、通识选修-生命探索
MARX1003G	习近平新时代中国特色社会主义思想概论	马克思主义学院	5	155	12~71	否	(2026-2027-1)-MARX1003G-0018231-12	桑建泉、翟绪权	周五第3,4,5节	紫金港蒙民伟-225	秋冬	2027年01月10日(14:00-16:00)	PDF培养方案 / 通识-思政必修、通识必修-全部、通识必修-思政必修
MARX1003G	习近平新时代中国特色社会主义思想概论	马克思主义学院	6	155	15~86	否	(2026-2027-1)-MARX1003G-0020238-1	翟绪权、桑建泉	周五第3,4,5节	紫金港东2-301	秋冬	2027年01月10日(14:00-16:00)	PDF培养方案 / 通识-思政必修、通识必修-全部、通识必修-思政必修
